index,city,district,min_booking_duration,first_pic_category,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,clicks
27017,231,306,1,LIVING_DINING_ROOM,2,3,1000.0,72.0,1490.0,4,20,90.0,388
6060,141,759,1,LIVING_DINING_ROOM,1,2,4000.0,67.0,950.0,2,30,,0
2534,1339,1370,1,LIVING_DINING_ROOM,2,3,1500.0,100.0,1780.0,3,13,80.0,39
32175,1,0,3,KITCHEN,1,1,250.0,33.0,1650.0,3,30,0.0,223
7745,141,287,1,LIVING_DINING_ROOM,1,2,3000.0,60.0,2000.0,2,27,100.0,65
19102,168,223,6,LIVING_DINING_ROOM,1,2,1000.0,60.0,1740.0,1,20,100.0,331
24942,349,440,1,KITCHEN,0,0,100.0,,100.0,,7,,0
12971,465,567,3,ROOM_BEDROOM,1,1,750.0,8.0,750.0,1,12,80.0,277
5921,349,440,3,ROOM_BEDROOM,1,2,2000.0,45.0,780.0,1,8,0.0,157
25794,1194,1248,1,,1,1,650.0,,650.0,,,,0
33469,1334,1414,1,BATHROOM,2,2,2000.0,58.0,3184.0,4,81,180.0,155
18956,141,951,2,ROOM_BEDROOM,2,3,1700.0,73.0,1500.0,3,30,180.0,1417
20792,141,458,12,KITCHEN,2,2,700.0,140.0,600.0,1,5,1400.0,0
4806,349,440,1,LIVING_DINING_ROOM,2,4,1000.0,108.0,1890.0,4,7,50.0,0
6249,259,343,1,LIVING_DINING_ROOM,1,2,2600.0,40.0,1300.0,2,5,100.0,458
6693,259,343,1,LIVING_DINING_ROOM,2,2,800.0,76.0,1150.0,4,21,0.0,831
7405,701,809,6,LIVING_DINING_ROOM,1,2,1600.0,54.0,950.0,2,18,90.0,0
23784,1334,1414,1,LIVING_DINING_ROOM,2,2,2000.0,47.0,2686.0,4,130,170.0,26
4183,465,567,3,ROOM_BEDROOM,1,1,1570.0,19.0,1570.0,1,12,0.0,41
10035,141,269,2,UNCATEGORIZED,1,1,800.0,40.0,800.0,1,20,100.0,1638
21981,141,951,1,ROOM_BEDROOM,3,4,2500.0,83.0,3500.0,6,23,0.0,217
8643,888,984,6,ROOM_BEDROOM,1,1,1380.0,30.0,790.0,2,6,50.0,58
15662,231,306,1,,1,1,500.0,,2300.0,,,,0
16835,263,348,1,ROOM_BEDROOM,1,1,1000.0,30.0,1200.0,2,10,60.0,918
18975,656,766,3,ROOM_BEDROOM,1,2,4500.0,77.0,2020.0,3,21,150.0,8
12654,185,893,1,LIVING_DINING_ROOM,1,1,0.0,29.5,1650.0,2,8,30.0,204
21058,141,951,2,HALL_CORRIDOR,1,2,500.0,56.0,1300.0,2,17,50.0,0
8024,141,287,1,ROOM_BEDROOM,1,1,500.0,40.0,920.0,2,3,95.0,0
3358,712,819,1,UNCATEGORIZED,3,2,1500.0,120.0,1650.0,4,14,150.0,486
18,349,440,3,LIVING_DINING_ROOM,2,3,3400.0,85.0,1700.0,4,21,50.0,0
8909,656,766,3,BATHROOM,0,0,1250.0,,1250.0,,8,,0
14034,822,923,6,LIVING_DINING_ROOM,1,3,5500.0,90.0,2990.0,3,18,150.0,215
19166,264,349,1,LIVING_DINING_ROOM,1,2,1200.0,46.0,790.0,2,27,60.0,4
6126,141,759,7,ROOM_BEDROOM,1,1,2400.0,34.0,1200.0,2,12,135.0,175
32187,1194,1248,3,ROOM_BEDROOM,1,1,1200.0,18.0,800.0,1,19,200.0,81
22482,565,677,1,LIVING_DINING_ROOM,1,2,2000.0,86.0,1450.0,2,16,50.0,460
26143,822,923,6,LIVING_DINING_ROOM,1,1,2600.0,39.0,1300.0,2,16,250.0,500
20543,888,984,1,ROOM_BEDROOM,1,3,850.0,65.0,850.0,2,4,0.0,0
27651,271,356,1,LIVING_DINING_ROOM,4,3,1500.0,78.0,1500.0,2,13,150.0,60
8439,888,984,1,LIVING_DINING_ROOM,1,1,500.0,,990.0,,27,,0
8884,141,1379,3,LIVING_DINING_ROOM,2,3,2925.0,110.0,1950.0,2,13,80.0,0
9099,141,458,3,LIVING_DINING_ROOM,1,1,1200.0,40.0,1200.0,2,20,0.0,1395
32626,656,766,12,ROOM_BEDROOM,1,3,3100.0,77.0,1770.0,2,17,100.0,277
23989,489,593,3,LIVING_DINING_ROOM,2,3,6700.0,80.0,3350.0,5,26,250.0,305
427,1365,1392,4,LIVING_DINING_ROOM,1,2,2000.0,64.0,970.0,2,20,0.0,0
28229,141,452,2,LIVING_DINING_ROOM,1,3,1600.0,78.0,1749.0,3,12,,0
30181,1334,1414,1,LIVING_DINING_ROOM,2,3,1000.0,85.0,4060.0,4,19,159.0,50
426,976,1059,2,OUTDOOR_HOUSE,1,1,50.0,37.0,510.0,2,7,75.0,0
17579,565,677,3,HALL_CORRIDOR,1,2,1000.0,45.0,900.0,2,10,50.0,0
3509,349,440,1,,1,1,500.0,,1850.0,,,,0
18220,271,356,1,LIVING_DINING_ROOM,1,2,3000.0,60.0,1500.0,2,19,150.0,0
