district,min_booking_duration,first_pic_category,rooms,deposit,area,price,number_of_pics,cleaning_fee,deposit_ratio,clicks
923,6,LIVING_DINING_ROOM,2,3000.0,60.0,1890.0,19.0,180.0,1.5873015873015872,1248
440,6,LIVING_DINING_ROOM,1,2580.0,35.0,1290.0,14.0,100.0,2.0,960
759,1,OUTDOOR_HOUSE,1,500.0,55.0,4200.0,1.0,0.0,0.11904761904761904,0
440,3,ROOM_BEDROOM,1,2000.0,43.0,1150.0,17.0,150.0,1.7391304347826086,572
404,1,STAIRS,2,1500.0,72.0,1920.0,29.0,150.0,0.78125,560
1051,1,LIVING_DINING_ROOM,1,900.0,55.0,900.0,4.0,0.0,1.0,0
405,6,LIVING_DINING_ROOM,3,1250.0,50.0,1250.0,6.0,149.0,1.0,261
43,6,LIVING_DINING_ROOM,1,2200.0,45.0,975.0,11.0,90.0,2.2564102564102564,401
440,1,LIVING_DINING_ROOM,4,3500.0,112.0,2760.0,24.0,200.0,1.2681159420289856,0
911,6,HALL_CORRIDOR,2,1000.0,37.0,690.0,12.0,0.0,1.4492753623188406,355
759,2,UNCATEGORIZED,3,2290.0,75.0,2290.0,21.0,150.0,1.0,1061
860,6,OUTDOOR_BUILDING,2,950.0,65.0,950.0,8.0,100.0,1.0,612
766,3,LIVING_DINING_ROOM,2,1500.0,25.0,950.0,10.0,50.0,1.5789473684210527,260
1052,5,LIVING_DINING_ROOM,3,3500.0,80.0,3410.0,14.0,200.0,1.0263929618768328,714
893,1,UNCATEGORIZED,1,500.0,55.0,1200.0,0.0,80.0,0.4166666666666667,0
440,3,LIVING_DINING_ROOM,2,1590.0,48.0,1590.0,22.0,150.0,1.0,1244
374,3,LIVING_DINING_ROOM,1,2600.0,49.0,1280.0,20.0,150.0,2.03125,276
875,1,LIVING_DINING_ROOM,3,500.0,95.0,2200.0,40.0,0.0,0.22727272727272727,250
855,6,EMPTY_ROOM,2,2800.0,44.0,1350.0,15.0,150.0,2.074074074074074,169
568,3,ROOM_BEDROOM,1,500.0,20.0,420.0,7.0,50.0,1.1904761904761905,0
372,9,OUTDOOR_HOUSE,5,5000.0,160.0,2650.0,13.0,400.0,1.8867924528301887,0
1041,1,UNCATEGORIZED,1,500.0,55.0,450.0,0.0,0.0,1.1111111111111112,0
1248,3,ROOM_BEDROOM,1,975.0,15.0,650.0,18.0,200.0,1.5,298
